v_ref (V),irrad (G),temp (C),current (A)
0.0,0.001,0.001,0.01
0.0,0.001,5.0,0.01
0.0,0.001,10.0,0.01
0.0,0.001,15.0,0.01
0.0,0.001,20.0,0.01
0.0,0.001,25.0,0.01
0.0,0.001,30.0,0.01
0.0,0.001,35.0,0.01
0.0,0.001,40.0,0.01
0.0,0.001,45.0,0.01
0.0,0.001,50.0,0.01
0.0,0.001,55.0,0.01
0.0,0.001,60.0,0.01
0.0,0.001,65.0,0.01
0.0,0.001,70.0,0.01
0.0,0.001,75.0,0.01
0.0,0.001,80.0,0.01
0.0,50.0,0.001,3.04
0.0,50.0,5.0,3.05
0.0,50.0,10.0,3.06
0.0,50.0,15.0,3.07
0.0,50.0,20.0,3.08
0.0,50.0,25.0,3.09
0.0,50.0,30.0,3.1
0.0,50.0,35.0,3.11
0.0,50.0,40.0,3.12
0.0,50.0,45.0,3.12
0.0,50.0,50.0,3.13
0.0,50.0,55.0,3.14
0.0,50.0,60.0,3.15
0.0,50.0,65.0,3.16
0.0,50.0,70.0,3.16
0.0,50.0,75.0,3.17
0.0,50.0,80.0,3.17
0.0,100.0,0.001,5.96
0.0,100.0,5.0,5.93
0.0,100.0,10.0,5.87
0.0,100.0,15.0,5.81
0.0,100.0,20.0,5.74
0.0,100.0,25.0,5.66
0.0,100.0,30.0,5.58
0.0,100.0,35.0,5.49
0.0,100.0,40.0,5.4
0.0,100.0,45.0,5.31
0.0,100.0,50.0,5.21
0.0,100.0,55.0,5.11
0.0,100.0,60.0,5.01
0.0,100.0,65.0,4.91
0.0,100.0,70.0,4.81
0.0,100.0,75.0,4.7
0.0,100.0,80.0,4.6
0.0,150.0,0.001,6.69
0.0,150.0,5.0,6.58
0.0,150.0,10.0,6.47
0.0,150.0,15.0,6.36
0.0,150.0,20.0,6.24
0.0,150.0,25.0,6.13
0.0,150.0,30.0,6.02
0.0,150.0,35.0,5.91
0.0,150.0,40.0,5.8
0.0,150.0,45.0,5.68
0.0,150.0,50.0,5.57
0.0,150.0,55.0,5.46
0.0,150.0,60.0,5.35
0.0,150.0,65.0,5.23
0.0,150.0,70.0,5.12
0.0,150.0,75.0,5.01
0.0,150.0,80.0,4.89
0.0,200.0,0.001,6.87
0.0,200.0,5.0,6.76
0.0,200.0,10.0,6.65
0.0,200.0,15.0,6.53
0.0,200.0,20.0,6.42
0.0,200.0,25.0,6.3
0.0,200.0,30.0,6.19
0.0,200.0,35.0,6.07
0.0,200.0,40.0,5.96
0.0,200.0,45.0,5.85
0.0,200.0,50.0,5.73
0.0,200.0,55.0,5.62
0.0,200.0,60.0,5.5
0.0,200.0,65.0,5.39
0.0,200.0,70.0,5.27
0.0,200.0,75.0,5.16
0.0,200.0,80.0,5.05
0.0,250.0,0.001,6.98
0.0,250.0,5.0,6.86
0.0,250.0,10.0,6.75
0.0,250.0,15.0,6.63
0.0,250.0,20.0,6.52
0.0,250.0,25.0,6.41
0.0,250.0,30.0,6.29
0.0,250.0,35.0,6.18
0.0,250.0,40.0,6.06
0.0,250.0,45.0,5.95
0.0,250.0,50.0,5.83
0.0,250.0,55.0,5.72
0.0,250.0,60.0,5.61
0.0,250.0,65.0,5.49
0.0,250.0,70.0,5.38
0.0,250.0,75.0,5.26
0.0,250.0,80.0,5.15
0.0,300.0,0.001,7.05
0.0,300.0,5.0,6.94
0.0,300.0,10.0,6.82
0.0,300.0,15.0,6.71
0.0,300.0,20.0,6.59
0.0,300.0,25.0,6.48
0.0,300.0,30.0,6.37
0.0,300.0,35.0,6.25
0.0,300.0,40.0,6.14
0.0,300.0,45.0,6.02
0.0,300.0,50.0,5.91
0.0,300.0,55.0,5.8
0.0,300.0,60.0,5.68
0.0,300.0,65.0,5.57
0.0,300.0,70.0,5.45
0.0,300.0,75.0,5.34
0.0,300.0,80.0,5.23
0.0,350.0,0.001,7.11
0.0,350.0,5.0,6.99
0.0,350.0,10.0,6.88
0.0,350.0,15.0,6.77
0.0,350.0,20.0,6.65
0.0,350.0,25.0,6.54
0.0,350.0,30.0,6.42
0.0,350.0,35.0,6.31
0.0,350.0,40.0,6.2
0.0,350.0,45.0,6.08
0.0,350.0,50.0,5.97
